activity_matched_words,name,activities,latest_income,region,district,website,dk_priority,cause_ids,causes
electron,The Rank Prize Fund,"The advancement and promotion for the public benefit of knowldge, education and learning in all or any of the following sciences:
1. Crop husbandry
2. Human nutrition
3. The interface between optics and electronics and nearly related phenomena",663863.0,London,Westminster,www.rankprize.org,0,"[109, 102]","['Arts/culture/heritage/science', 'Education/training']"
social enterpris,Better Health Products Limited,"The principal activities of the social enterprise are an artisan bakery, bicycle workshop and light manufacturing. This work provides time limited (usually 3 months) trainee placements for men and women who suffer from mental ill health and forms a part of their recovery and social inclusion.  The aim of the enterprise is a move on of trainees to employment or further training.",330953.0,London,Hackney,www.centreforbetterhealth.org.uk,1,"[104, 102, 113]","['Disability', 'Education/training', 'Economic/community development/employment']"
social enterpris,Share Community Limited,"Share provides vocational training, education, and opportunities for personal development to disabled people and those facing health related barriers to employment.  We have 2 social enterprises offering catering and gardening services.  We run a mental health employment programme and we offer Traineeships to young disabled people. Based in Wandsworth, we have no geographical boundaries.",973051.0,London,Wandsworth,www.sharecommunity.org.uk,1,"[104, 113, 102]","['Disability', 'Economic/community development/employment', 'Education/training']"
technolog,Cancer Prevention Research Trust,"Our charity is focused on research for cancer risk factors regarding chemicals in food and the environment in general. Research has progressed systematically to identify potential agents that reduce cancer risk and to develop strategies that take advantage of basic research results. Furthermore, advances in our understanding of new and emerging technologies have become important tools for cancer p",306185.0,London,Camden,www.cancer-prevention-research.co.uk,0,"[102, 103]","['Education/training', 'The advancement of health or saving of lives']"
analysi,The Analytical Chemistry Trust Fund,"The purpose of the charity is to promote, assist and extend the science and study of Analytical Chemistry and of all questions relating to the analysis, nature and composition of natural and manufactured materials for the benefit of the public.",255000.0,South East,Surrey Heath,http://www.rsc.org/membership/networking/interestgroups/analytical/actrustfund.asp,0,"[109, 102, 117, 112]","['Arts/culture/heritage/science', 'Education/training', 'Other charitable purposes', 'Environment/conservation/heritage']"
measur,The Institute Of Measurement And Control,"For the public benefit:
(i) qualifying individuals as professionals in measurement and control and as engineers and scientists,
(ii) disseminating knowledge and information, on/about development in the industry, through learned society activities such as publications, symposia and technical meetings etc.",751052.0,London,Camden,www.instmc.org,0,[102],['Education/training']
ventur,Tanzania Development Trust,"TDT supports projects proposed by communities in all parts of Tanzania. It seeks to combat poverty and disease by the development of education, health and social services, the improvement of water supplies and other communal facilities and the promotion of self-help ventures. In making grants the Trust will try to promote equal opportunities and projects which improve the environment.",170151.0,South East,Chiltern,www.tanzdevtrust.org,1,"[113, 102, 103, 107, 112, 104, 105]","['Economic/community development/employment', 'Education/training', 'The advancement of health or saving of lives', 'Accommodation/housing', 'Environment/conservation/heritage', 'Disability', 'The prevention or relief of poverty']"
satellit,The Oxford Kidney Unit Trust Fund Limited,"The Charity has the general aim of contributing to the quality of life and quality of treatment of patients under the care of the Oxford Kidney Unit and its satellite units at Milton Keynes, High Wycombe, Swindon, Stoke Mandeville and Banbury.",223966.0,South East,Oxford,,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
grantmak,The Sobell Foundation,"The Sobell Foundation is a grant-making trust.   Funding is generally restricted to charities working in the following fields:  Medical care & treatment, care & education for physically & mentally disabled adults & children, homelessness & care and support for the elderly & children from disadvantaged backgrounds.  In Israel only the trustees support coexistence & immigrant absorption projects .",1994973.0,South West,Mendip,www.sobellfoundation.org.uk,1,"[103, 105, 104]","['The advancement of health or saving of lives', 'The prevention or relief of poverty', 'Disability']"
technolog,"The Society Of College, National And University Libraries","- Influencing government agencies and other bodies to develop policies and practices that support our vision
- Adopting an advocacy role (in relation, for example, to legislative and scholarly communication developments)
- Facilitative and collaborative working both within the sector and with other partners (including an observatory and technology watch role).",544604.0,London,Camden,http://www.sconul.ac.uk/,0,[102],['Education/training']
technolog,Amberley Museum & Heritage Centre,"The company was established to operate the museum at Amberley, to preserve and restore artefacts of interest and importance that might otherwise be destroyed, to maintain and develop the unique collections and by exhibitions, demonstrations, lectures printed publications and other means to educate the public in the tools, inventions, technologies, customs and social history of previous generations",842157.0,South East,Horsham,www.amberleymuseum.co.uk,0,"[102, 112]","['Education/training', 'Environment/conservation/heritage']"
analysi,The Association For The Promotion Of Pre-Conceptual Care (Foresight),"We provide Preconceptual Care  by way of Hair Analysis
To promote the maximum health and fitness in the body
to enable a healthy pregnancy and healthy babies.",126117.0,South West,"Bristol, City of",www.foresight-preconception.org.uk,0,[103],['The advancement of health or saving of lives']
digit,The European Association For Digital Humanities,"The Association promotes and supports the advancement of education in the Digital Humanities through the development and use of computational methods in Humanities research and teaching.  The Association publishes the results of research in its journal LLC:The International Journal of the Digital Humanities, published by Oxford University Press.",107298.0,London,Greenwich,http://eadh.org/,0,"[109, 102]","['Arts/culture/heritage/science', 'Education/training']"
comput,The Ian Karten Charitable Trust,The main objective of the trust is the establishment of special centres which give adults with severe disabilities access to assistive computer technology for vocational and life skills training.,464213.0,South East,New Forest,karten-network.org.uk,1,"[102, 104]","['Education/training', 'Disability']"
technolog,The Ian Karten Charitable Trust,The main objective of the trust is the establishment of special centres which give adults with severe disabilities access to assistive computer technology for vocational and life skills training.,464213.0,South East,New Forest,karten-network.org.uk,1,"[102, 104]","['Education/training', 'Disability']"
social enterpris,The Sofa Project,Sofa Project Is A Social Enterprise With The Charitable  Aims Of Supporting The Rehabilitation Of Prisoners Through Work Opportunities In The Organisation.  These Activities Mainly Comprise The Re-Use Of Unwanted/Donated Furniture And Domestic Appliances By Refurbishing Them And Supplying Them At Low Prices To People On Low Incomes.,1005550.0,South West,"Bristol, City of",www.sofaproject.org.uk,1,"[113, 102, 105, 112]","['Economic/community development/employment', 'Education/training', 'The prevention or relief of poverty', 'Environment/conservation/heritage']"
devic,The British And Irish Hypertension Society,"The BHS produces guidelines for the management of hypertension, undertakes validation of new blood pressure measurement devices and runs an educational programme to support doctors and other healthcare workers involved in understanding the basis of hypertension and improving its treatment.",159914.0,,City of Edinburgh,www.bhsoc.org,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
measur,The British And Irish Hypertension Society,"The BHS produces guidelines for the management of hypertension, undertakes validation of new blood pressure measurement devices and runs an educational programme to support doctors and other healthcare workers involved in understanding the basis of hypertension and improving its treatment.",159914.0,,City of Edinburgh,www.bhsoc.org,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
platform,Action Space London Events Limited,"Action Space is London's largest provider of visual art projects for people with learning disabilities.  We offer a wide variety of visual arts activities including painting, ceramics, sculpture.  Our aims are: to be user-led and participatory,  to encourage the personal and artistic development , to provide a platform to show-case the talents and achievements of emerging artists.",303355.0,London,Camden,www.actionspace.org,0,[109],['Arts/culture/heritage/science']
grantmak,The Kay Kendall Leukaemia Fund,Grant-making.,532543.0,London,Westminster,http://kklf.org.uk/,0,[103],['The advancement of health or saving of lives']
directori,Elderly Accommodation Counsel,"We provide a free national service to help older people make informed decisions about meeting their care, support and accommodation needs.
We lead a network of partner organisations and older people's groups who provide local support and advocacy when required.
We maintain, and make freely available, directories of information about services and specialist accommodation for older people.",792109.0,London,Lambeth,www.eac.org.uk,1,"[117, 104, 103, 107]","['Other charitable purposes', 'Disability', 'The advancement of health or saving of lives', 'Accommodation/housing']"
ventur,Hartcliffe And Withywood Ventures,"Hartcliffe & Withywood Ventures is a local  trust which provides training, community facilities, childcare and supports local economic and community development.",1178340.0,South West,North Somerset,www.hwv.org.uk,1,"[102, 113, 105]","['Education/training', 'Economic/community development/employment', 'The prevention or relief of poverty']"
electron,The Talking Newspaper Association Of The United Kingdom,"National Talking Newspapers and Magazines provide audio and full electronic text versions of 200 publications in a range of formats for people unable to read normal print due to visual impairment or other disability, enabling people to keep in touch with news and other interests.",212805.0,London,Camden,http://www.tnauk.org.uk,1,[104],['Disability']
dynam,Apples And Snakes,"Apples & Snakes stretches the boundaries of poetry in education and performance by giving voice to a diverse range of challenging and dynamic poets. This is achieved through organising participatory workshops in schools, libraries, community centres, prisons and other venues and through the production of performance poetry and live literature events throughout England and Wales.",623644.0,London,Lewisham,www.applesandsnakes.org,0,"[109, 102]","['Arts/culture/heritage/science', 'Education/training']"
comput,Manna Society,"The Manna Day Centre is open 7 days a week, 51 weeks of the year offering the following services: free food, showers, clothing, housing & welfare advice, medical care and access to computers.",434727.0,London,Southwark,www.mannasociety.org.uk,1,"[105, 107]","['The prevention or relief of poverty', 'Accommodation/housing']"
technolog,The International Society For Trenchless Technology,"The promotion and advancement of trenchless technology for the public benefit worldwide. This includes education, training, research, the compilation and archiving of technical information, publication and dissemination of trenchless news and information, organising exhibitions and conferences and co-operating with similar organisations dealing with underground utilities and underground space.",148289.0,,,www.istt.com,0,[112],['Environment/conservation/heritage']
social enterpris,Druglink Limited,"Residential Detox and Rehabilitation 
Resettlement and Supported Housing
Counselling
Community Outreach
School Liaison
Training including peer led harm minimisation
Pharmacy based needle exchange and drop in centre
Social Enterprise - Coffee Ethic",1838772.0,East of England,Dacorum,www.druglink.co.uk,1,"[105, 103, 102, 107]","['The prevention or relief of poverty', 'The advancement of health or saving of lives', 'Education/training', 'Accommodation/housing']"
comput,Special Objectives For The Local Disabled (S O L D ),"SOLD runs a studio workshop on the South Lowestoft industrial estate which is attended by up to 20 people a day who all have physical and sensory disabilities of varying degrees.    We offer a wide variety of woodworking and other craft activities such as pottery, art, textiles, cooking and domestic skills in a specially adapted kitchen, and computer skills in our computer suite.",148403.0,East of England,Waveney,www.soldstudio.co.uk,1,"[102, 113, 104]","['Education/training', 'Economic/community development/employment', 'Disability']"
electron,The Inspire Foundation,"The INSPIRE Foundation addresses quality of life issues for those living with damage to the spinal cord by researching the latest advances in electronic, mechanical and medical technology.",244519.0,South West,Wiltshire,www.inspire-foundation.org.uk,1,"[103, 104]","['The advancement of health or saving of lives', 'Disability']"
technolog,The Inspire Foundation,"The INSPIRE Foundation addresses quality of life issues for those living with damage to the spinal cord by researching the latest advances in electronic, mechanical and medical technology.",244519.0,South West,Wiltshire,www.inspire-foundation.org.uk,1,"[103, 104]","['The advancement of health or saving of lives', 'Disability']"
technolog,Gloucestershire Aviation Collection,"to preserve the aeronautical heritage of Gloucestershire for the benefit of the public and to exhibit to members of the public materials related to flying, the air and space industry and its associated technology by means of the establishment and maintenance of an aviation museum and other permanent and temporary exhibitions",143216.0,South West,Gloucester,www.jetagemuseum.org,0,[109],['Arts/culture/heritage/science']
internet,The Paddle Steamer Preservation Society,Fundraising for restoration. Publication of historical and technical information.  Public meetings on related matters.  Collection of archives and artefacts displayed on the Internet and available for research.,286782.0,East of England,Southend-on-Sea,http://www.paddlesteamers.org.uk,0,"[109, 112]","['Arts/culture/heritage/science', 'Environment/conservation/heritage']"
grantmak,The Sue Thomson Foundation,Grant-making; the principal beneficiary is Christ's Hospital,264878.0,South East,Reigate and Banstead,none.nowebsite,1,"[103, 102, 105]","['The advancement of health or saving of lives', 'Education/training', 'The prevention or relief of poverty']"
social enterpris,Stanton Guildhouse Trust,"The Stanton Guildhouse Trust exists to promote moral and spiritual improvement of the local and wider communities, by the teaching of arts and crafts, and by providing a resource for meetings and networking for charities, voluntary groups and social enterprises.",139486.0,South West,Tewkesbury,www.stantonguildhouse.org.uk,0,"[102, 113, 109]","['Education/training', 'Economic/community development/employment', 'Arts/culture/heritage/science']"
technolog,The Fellowship Of Postgraduate Medicine,The Fellowship of Postgraduate Medicine publishes the international Postgraduate Medical Journal and the Health Policy and Technology journal and holds a range of seminars and conferences.,659806.0,West Midlands,Coventry,www.thefpm.co.uk,0,[102],['Education/training']
social enterpris,Plunkett Foundation,Improvement of rural livelihoods through co-operative and social enterprise.,1220644.0,South East,West Oxfordshire,www.plunkett.co.uk,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
technolog,The International Federation Of Training And Development Organisations Limited,"The development and maintenance of a worldwide network of information and human resources dedicated to developing, expanding and transferring the knowledge, technology and impact of human resource development throughout national and multi-national professional, educational, governmental and commercial organisations and their members.",113990.0,,,www.iftdo.net,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
digit,The Meridian Trust,"The principal activity of the Meridian Trust is the preservation and dissemination of Buddhist thought, culture and artistic heritage. Our goal is to create a multimedia digital resource through which to make the insights of Buddhist culture available to all.",100631.0,,,www.meridian-trust.org,0,"[109, 112]","['Arts/culture/heritage/science', 'Environment/conservation/heritage']"
dynam,Nmc Recordings Ltd,"NMC believes that new music is a dynamic and engaging art. We seek to discover and share exceptional work that inspires and challenges.  NMC:
- produces high quality recordings of outstanding work by British composers
- works with leading artists and ensembles
- promotes these recordings to expand worldwide audiences for contemporary music
- preserves this creativity for generations to come",314747.0,London,Tower Hamlets,www.nmcrec.co.uk,0,[109],['Arts/culture/heritage/science']
dynam,The Manchester Young People'S Theatre Limited,"Contact is a dynamic arts organisation and charity based in Manchester with young people at its heart. We work locally, nationally, and internationally to provide life changing opportunities for the next generation of creative leaders, artists, and audiences, redefining theatre for the 21st Century and presenting and producing a diverse artistic program in our building and beyond.",1857306.0,North West,Manchester,http://www.contactmcr.com,0,"[109, 113, 116]","['Arts/culture/heritage/science', 'Economic/community development/employment', 'Recreation']"
startup,Warrington Training Trust Limited,"To relieve and prevent poverty occasioned by unemployment or other causes amoung young persons resident within ten miles of Market Gate Warrington and to provide education and vocational training for young unemployed persons. The relief of unemployment in particular, but not exclusively, by provision of affordable, easy access accomodation to encourage business start-up and development.",495001.0,North West,Warrington,,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
comput,Itec North East Limited,"The provision of Apprenticeship training to young people and unemployed adults in the computing and business environment.
The Company's vision, as approved by the directors, is to be recognised by individuals and employers as providing excellence in Vocational and Work-based learning in the North East region.",1484477.0,North East,County Durham,www.itecne.co.uk,0,"[113, 102]","['Economic/community development/employment', 'Education/training']"
coop,Cancer Support Yorkshire,"support for persons suffering from all forms of cancer, their carers, families and friends. of services aimed at supporting the best possible quality of life for people affected by cancer through practical, social and psychological assistance. Support to those bereaved by cancer. Co-op working with other orgs both vol and stat involved in the relief of suffering caused by cancer.",584241.0,Yorkshire and The Humber,Bradford,www.csyorkshire.org.uk,0,[103],['The advancement of health or saving of lives']
directori,Hereford Arts In Action Limited,"We are a social development & community charity, aiming to enhance the quality of life & wellbeing of people of all ages, abilities, disabilities & financial means - and their communities - throughout Herefordshire & beyond, by
- operating & enabling a wide variety of participatory activities in music & related arts 
- also providing musical contacts, directory, information & advice services",272403.0,West Midlands,"Herefordshire, County of",www.musicpool.org.uk,1,"[113, 104, 102, 112, 117, 103, 115, 109, 116]","['Economic/community development/employment', 'Disability', 'Education/training', 'Environment/conservation/heritage', 'Other charitable purposes', 'The advancement of health or saving of lives', 'Human rights/religious or racial harmony/equality or diversity', 'Arts/culture/heritage/science', 'Recreation']"
directori,Leicestershire Action For Mental Health Project,"Independent advocacy services for people seeking or using mental health services, & for carers of those experiencing mental distress
Information resources on mental health matters & comprehensive directory of mental health services
Community mental health web site
Support & training -user & carer forums for mental health service users & their carers to shape current & future service provision",560109.0,East Midlands,Leicester,www.lampadvocacy.co.uk,1,"[103, 104, 102]","['The advancement of health or saving of lives', 'Disability', 'Education/training']"
instal,The Foundation For Art And Creative Technology,"FACT provides a range of activities including an exhibition programme including installations, screenings, etc by artists working with digital and visual arts media; a collaboration programme working with local communities; a range of moving image and new media resource services that support the arts sector; education and training initiatives for a range of audiences; and a research programme.",1884301.0,North West,Liverpool,www.fact.co.uk,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
disrupt,Sheffield Independent Film And Television Ltd,"SHIFT works with NEET young people to delivery Foundation Learning including vocational media training; functional skills; information & guidance and ongoing pastoral with a Personal Development accredited qualifications. Our aim is to help young people with disrupted education  find meaningful meaningful progression leading to further education, employment or apprenticeship.",395644.0,Yorkshire and The Humber,Sheffield,www.shiftmedia.org.uk,0,"[109, 102, 113]","['Arts/culture/heritage/science', 'Education/training', 'Economic/community development/employment']"
social enterpris,Hammersmith And Fulham Association For Mental Health,"social inclusion activities, social enterprises, drop-in service with wide range of therapeutic groups, assertive outreach project, advocacy services at Charing Cross Hospital, Advice and Information service, User involvement projects both at Charing Cross Hospital and in the community, counselling service and physical health advocacy.",1229452.0,London,Hammersmith and Fulham,www.hfmind.org.uk,1,"[104, 109, 102, 103, 113]","['Disability', 'Arts/culture/heritage/science', 'Education/training', 'The advancement of health or saving of lives', 'Economic/community development/employment']"
comput,Heads Up Somerset Ltd,"Provide Day Services
Woodwork
Arts & Crafts
Pottery
Gardening
Computing
Packing",196503.0,South West,Mendip,www.headsupsomerset.org.uk,1,"[102, 103, 112, 104]","['Education/training', 'The advancement of health or saving of lives', 'Environment/conservation/heritage', 'Disability']"
data,Guild Of One-Name Studies,"Advance the education of the public in one-name studies (defined as research into the genealogy and family history of all persons with the same surname and its variants). 
Promote the preservation and publication of the resultant data and to maximise its accessibility to interested members of the public.",119751.0,London,Islington,www.one-name.org,0,[102],['Education/training']
platform,European Oncology Nursing Society,"Working in partnership to promote excellence in cancer nursing practice through education, research, leadership and support to cancer nurses.
We fund travel grants, awards and fellowships.
We act as a platform, giving voice to oncology nurses.The spend described is for the benefit of all countries listed and draws
on the resources from those countries",160972.0,London,Camden,http://www.cancernurse.eu,0,"[109, 103, 102]","['Arts/culture/heritage/science', 'The advancement of health or saving of lives', 'Education/training']"
instal,Kazzum Arts Project,"Kazzum creates playful theatre and participative arts activities for young people. We produce outdoor performances and installations for children and families, and site-specific productions for teenagers. We deliver creative workshops for young people in a variety of settings, including hospitals, playspaces, schools and refugee centres.",241433.0,London,Tower Hamlets,www.kazzum.org,0,[109],['Arts/culture/heritage/science']
technolog,The English And Media Centre,Support teachers in promoting literacy in all forms. Develop & disseminate active approaches to learning. Initiate and resource innovative approaches both in the established English & Media curriculum and in the new literacy technologies. Relate English & Media teaching to the wider curriculum. Offer direct support to students. Carry out action research projects.,787006.0,London,Islington,www.englishandmedia.co.uk,0,[102],['Education/training']
marketplac,Texprint,"Each year Texprint selects 24 graduate textile designers from over 200 applicants nominated as the best by their tutors from UK colleges. All are interviewed and mentored individually with their portfolios by panels of industry professionals, and the final 24 are launched first in London, and then at Indigo in Paris. Texprint provides a vital bridge between higher education and the marketplace",166274.0,London,Wandsworth,www.texprint.org.uk,0,[102],['Education/training']
social enterpris,St Richard Of Chichester Christian Care Association Ltd,"The charity operating as Stonepillow is principally engaged in the relief of homelessness and social exclusion. Services include night hostels, day centres, a furniture recycling social enterprise project, supported accommodation and a recovery project for those dependent on drugs, alcohol and suffer from mental health.",1893123.0,South East,Chichester,www.stonepillow.org.uk,1,"[105, 104, 113, 102, 103, 107]","['The prevention or relief of poverty', 'Disability', 'Economic/community development/employment', 'Education/training', 'The advancement of health or saving of lives', 'Accommodation/housing']"
natur languag,The Association For Language Learning,"Promotes and supports  learning and teaching of natural languages and the development of UK languages education. The Association's members are language teachers and  language education professionals in all sectors. The Association produces publications, organises in-service training for teachers and events for language learners; and is also involved in educational projects.",405330.0,East Midlands,Leicester,www.all-languages.org.uk,0,[102],['Education/training']
electron,British Association For American Studies,"The Association concerns itself with: holding conferences; periodical publication of papers; establishment of a centre of record for research materials in the UK, including microfilm; investigation of the means of travel and study for British scholars in the US. It publishes an online newsletter twice a year and maintains a website where other resources are available electronically.",168747.0,North East,County Durham,www.baas.ac.uk,0,[102],['Education/training']
digit,Axis Web,"We operate the largest digital platform showcasing UK artists. We present and connect artists with audiences, commissioners and new opportunities. We support our members through insurance, networks, space, opportunities, R&D awards, profiling, advice & mentoring.",158143.0,Yorkshire and The Humber,Wakefield,www.axisweb.org,0,"[113, 109]","['Economic/community development/employment', 'Arts/culture/heritage/science']"
platform,Axis Web,"We operate the largest digital platform showcasing UK artists. We present and connect artists with audiences, commissioners and new opportunities. We support our members through insurance, networks, space, opportunities, R&D awards, profiling, advice & mentoring.",158143.0,Yorkshire and The Humber,Wakefield,www.axisweb.org,0,"[113, 109]","['Economic/community development/employment', 'Arts/culture/heritage/science']"
grantmak,The Elmley Foundation,Grantmaking to the arts in Herefordshire and Worcestershire and related cultural development,318968.0,South West,Mid Devon,www.elmley.org.uk,0,[109],['Arts/culture/heritage/science']
