grant_matched_words,Identifier,Title,Description,Amount Awarded,Award Date,Planned Dates:Start Date,Recipient Org:Name,Recipient Org:Charity Number,Funding Org:Identifier,Funding Org:Name
technolog,360G-ocf-a061600000lwFHz,Soundworks,"We recently fostered a link with a local recording studio (Soundworks in Blackbird Leys) that has offered opportunities to two people we work with to visit the studio for four weeks each to experience difference areas of the recording process. This had a profound effect on the people involved, and following this, we had lots of other people express interest and excitement. Unfortunately, the recording studio cannot sustain an ongoing project for free and we would like to create an ongoing programme that will enable more people to benefit from this unique opportunity. We are applying to the Midcounties Co-operative Community fund for funding to cover costs to enable an individual to have four weekly sessions of two hours each int he recording studio. In their studio time, they can choose what area they would like to learn about - be it production, mixing ore recording etc. We also have music tutors who would be willing to offer music lessons for very reduced prices. People could therefore also choose to have an hour music tuition int he studio space, with instruments provided, which they could then use towards their wider work in the studio. This programme would run for one year, enabling twelve people to participate with a structure of two sessions with an engineer and two with practice time and an hour of music lessons (if wanted or simply four with an engineer. This project has the scope to positively affect the people we work with ina variety of ways. It offers them the chance to be part of a creative process, and to access the arts in a less traditional more exciting way. It is also a very flexible opportunity, which allows them to choose exactly what areas they want to learn about, from writing songs to dj-ing to learning about production technology. It can be a way for people to start thinking about education as more expansive than just classrooms (which does not suit so many people). It also offers people the chance to take on responsibility for an activity, in which they must focus on timekeeping and behaviour. Fundamentally, this is something that will take place outside of the homeless pathway. Travelling somewhere that is not part of 'service rout', and in which they meet members of the wider community, is often an underestimated experience. We find that participating in activities with the general public is something that the people we work with find valuable, and is instrumental in changing their perceptions of themselves as 'outsiders' We hope that, with time, to see this project lead to the formation of a band that will also encourage people to see the therapeutic benefits of music and working as a team.",1920.0,2016-11-14,2016-12-01,Mayday Trust,1035524,GB-CHC-1151621,Oxfordshire Community Foundation
platform,360G-blagravetrust-0065800000AaQHM,Youth VOICE,Contribution towards the running of VOICE ? a platform for young people aged 16-25,60000.0,2015-03-08,,UK Youth,1110590,GB-CHC-1164021,The Blagrave Trust
technolog,360G-EFF-14-2447,Grant to The Restart Project,Towards the salary of a community and education lead and the development of educational modules and training materials. The Restart Project aims to change our short-lived relationship with technology and therefore reduce waste and carbon emissions.,60000.0,2015-07-27,,The Restart Project,1151286,GB-CHC-200051,Esmée Fairbairn Foundation
data,360G-EFF-16-0329,Grant to 360Giving,Towards the development of GrantNav2 - a tool to search and visualise grant data from UK funders,58600.0,2016-03-07,,360Giving,1164883,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-EFF-13-2042,Grant to Knowle West Media Centre,Towards a programme of work which will involve local people in creating change through engagement in arts and digital media technology.,120000.0,2014-10-08,,Knowle West Media Centre,1092375,GB-CHC-200051,Esmée Fairbairn Foundation
map,360G-EFF-14-0318,Grant to The Bat Conservation Trust,"Towards scoping work for a multi-partner project to develop a computerised mapping system showing the location of legally-protected species throughout England, for use by conservation groups and Local Planning Authorities.",29866.0,2014-02-17,,The Bat Conservation Trust,1012361,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-SussexCF-A457899,Age-venture digital,"‘Age-venture digital’ is a ‘digital club’, providing supported digital access and series of enrichment activities designed to support and encourage over 65’s to gain new skills and increase in confidence in using digital technology. Funding was provided for the purchase of 2 digital chrome books. ",500.0,2017-10-12,,Bridge Education Centre,1100405,GB-CHC-1113226,Sussex Community Foundation
app,360G-SussexCF-A444177,Grant to Cuckfield Stroke Support,Cuckfield Stroke Support are a communication group for Stroke Survivors. Funding was provided to buy some i-pads for their members with specialised apps to help and encourage communication.,2000.0,2017-07-14,2017-07-01,Cuckfield Stroke Support,211015,GB-CHC-1113226,Sussex Community Foundation
data,360G-ocf-a061600000lBTMR,Defibrillator for village to be sited at Village Hall,"We wish to buy a defibrillator & steel case to place on the outside of our Village Hall. We will pay for training ,installation of the defibrillator, the necessary electrode pads & electrical installation.We have an ageing population with above the national, district & county average of people over 65 according to the 2011 census data - this makes the probability of a heart attack occurring even greater. There is no defibrillator in our village or surrounding area & we would like to rectify this as quickly as possible. The nearest one is over 10 miles away.",1235.0,2016-09-23,2016-08-01,Weston on the Green Memorial Village Hall,264754,GB-CHC-1151621,Oxfordshire Community Foundation
measur,360G-northernrock:3960,Grant awarded to Consett Churches Detached Youth Project (Durham),To fund external facilitation of a session to develop a robust and sustainable mission and management strategy and define outcome measures.,2500.0,2012-01-16,2012-01-10,Consett Churches Detached Youth Project,513336,GB-COH-03416658,Northern Rock Foundation
map,360G-zing-22,Restless Development,Funding for the priority projects outlined in Technology Road Map,30000.0,2014-01-01,2014-01-01,Restless Development,1127488,GB-CHC-1133342,ZING
technolog,360G-zing-22,Restless Development,Funding for the priority projects outlined in Technology Road Map,30000.0,2014-01-01,2014-01-01,Restless Development,1127488,GB-CHC-1133342,ZING
data,360G-zing-39,ARK Schools,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",143000.0,2015-09-01,2015-09-01,ARK Schools,1095322,GB-CHC-1133342,ZING
platform,360G-zing-39,ARK Schools,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",143000.0,2015-09-01,2015-09-01,ARK Schools,1095322,GB-CHC-1133342,ZING
data,360G-zing-50,ARK Schools,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",101000.0,2016-12-01,2016-09-01,ARK Schools,1095322,GB-CHC-1133342,ZING
platform,360G-zing-50,ARK Schools,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",101000.0,2016-12-01,2016-09-01,ARK Schools,1095322,GB-CHC-1133342,ZING
measur,360G-northernrock:4121,Grant awarded to New Philanthropy Capital (North East & Cumbria),Developing funder practice in supporting impact measurement and reporting.,5000.0,2013-02-22,2013-02-22,New Philanthropy Capital,1091450,GB-COH-03416658,Northern Rock Foundation
platform,360G-indigotrust:IND243,Platform to facilitate community campaign organising,To develop a new platform for mobile campaigning and pilot two community led campaigns using the platform.,15453.07,2014-07-09,,Amandla.Mobi,720327950,GB-CHC-1075920,Indigo Trust
map,360G-tedworth:TED409,Research and policy development project ,Towards a research and policy development project to map and understand the impact of the curent childcare offer on children's outcomes.,18500.0,2016-12-09,,Family and Childcare Trust,1077444,GB-CHC-328524,Tedworth Charitable Trust
platform,360G-EFF-18-0053,Grant to Refugee Action,Towards development of a digital training platform for the Frontline Immigration Advice Project,56596.0,2018-02-05,,Refugee Action,283660,GB-CHC-200051,Esmée Fairbairn Foundation
analysi,360G-EFF-17-1747,Grant to Comic Relief,Towards the salary costs of an evaluation and learning officer responsible for overseeing data collection and analysis on projects that are part of the five year Early Action Neighbourhood Fund.,38365.0,2017-08-04,,Comic Relief,326568,GB-CHC-200051,Esmée Fairbairn Foundation
data,360G-EFF-17-1747,Grant to Comic Relief,Towards the salary costs of an evaluation and learning officer responsible for overseeing data collection and analysis on projects that are part of the five year Early Action Neighbourhood Fund.,38365.0,2017-08-04,,Comic Relief,326568,GB-CHC-200051,Esmée Fairbairn Foundation
data,360G-EFF-17-1139,Grant to The Stanford Trust,Towards a sharing event exploring the potential impact of open data on social innovation in the UK.,10000.0,2017-05-04,,The Stanford Trust,1022726,GB-CHC-200051,Esmée Fairbairn Foundation
open data,360G-EFF-17-1139,Grant to The Stanford Trust,Towards a sharing event exploring the potential impact of open data on social innovation in the UK.,10000.0,2017-05-04,,The Stanford Trust,1022726,GB-CHC-200051,Esmée Fairbairn Foundation
analysi,360G-EFF-10-0975,Grant to Criminal Justice Alliance,"Towards a campaign to reduce the prison population through the production and promotion of policy analysis, and work with the media.",50000.0,2010-12-15,,Criminal Justice Alliance,1143038,GB-CHC-200051,Esmée Fairbairn Foundation
app,360G-zing-44,Restless Development,Funding towards the Entrepreneur Panel and the M-Saathi mobile app,20900.0,2016-07-01,2016-07-01,Restless Development,1127488,GB-CHC-1133342,ZING
map,360G-zing-54,Generation Change,Towards the development of Horizon 2.0 platform for the mapping out of youth social action across England & Wales,35000.0,2017-04-12,2017-05-01,Generation Change,1158567,GB-CHC-1133342,ZING
platform,360G-zing-54,Generation Change,Towards the development of Horizon 2.0 platform for the mapping out of youth social action across England & Wales,35000.0,2017-04-12,2017-05-01,Generation Change,1158567,GB-CHC-1133342,ZING
data,360G-zing-58,ARK Schools,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",77000.0,2017-10-01,2017-10-01,ARK Schools,1095322,GB-CHC-1133342,ZING
platform,360G-zing-58,ARK Schools,"Funding to develop Assembly: a secure, cloud-based platform that connects to schools' Management Information Systems and extracts key elements of school data",77000.0,2017-10-01,2017-10-01,ARK Schools,1095322,GB-CHC-1133342,ZING
analysi,360G-EFF-08-2398,Grant to Centre for Alternative Technology Charity Limited,"Towards the costs of the research director, co-ordinator and energy modelling and economic analysis.",68470.0,2008-10-23,,Centre for Alternative Technology Charity Limited,265239,GB-CHC-200051,Esmée Fairbairn Foundation
analysi,360G-EFF-08-1058,Grant to The Institute for Fiscal Studies,Towards research and analysis costs of a study of environmental and distributional effects of fuel duty and vehicle excise duty.,74075.0,2008-10-01,,The Institute for Fiscal Studies,258815,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-EFF-08-4471,Grant to CDI Apps For Good,Towards the cost of a feasibility study to assess the demand and potential impact of using technology as a way of improving skills and education.,15000.0,2009-02-25,,CDI Apps For Good,1133656,GB-CHC-200051,Esmée Fairbairn Foundation
map,360G-barrowcadbury-006b000000IoEeD,Mapping the maze: provision for women and girls at risk,"To develop a minimum threshold of what constitutes a gender-sensitive service for women, and map provision of services that meet it, as a basis for campaigning for gender-responsive services.",38000.0,2016-03-24,2016-04-01,AVA (Against Violence and Abuse),1134713,GB-CHC-1115476,Barrow Cadbury Trust
databas,360G-barrowcadbury-006b000000AypGy,Joint enterprise and gang databases: cause for concern?,A research and policy project to examine the racial dimensions of joint enterprise and the police's 'gang database',28000.0,2015-03-23,2015-03-23,Centre for Crime & Justice Studies,251588,GB-CHC-1115476,Barrow Cadbury Trust
data,360G-barrowcadbury-006b000000MBukj,Tackling poverty by expanding Early Warning System,To collect data on the impact of welfare reform and use this to influence policy change at an early stage.,70000.0,2016-10-22,2016-11-01,Child Poverty Action Group,294841,GB-CHC-1115476,Barrow Cadbury Trust
platform,360G-EFF-10-2196,Grant to Theatre Sans Frontieres,Towards the costs of developing a web based platform and incorporating online material to support foreign language learning for children.,35000.0,2011-06-15,,Theatre Sans Frontieres,1046461,GB-CHC-200051,Esmée Fairbairn Foundation
measur,360G-EFF-18-0474,Grant to New Philanthropy Capital,"Towards updating, publication and dissemination of impact practice resources on theory of change and measurement frameworks, to be freely available to small and medium charities.",29950.0,2018-07-23,,New Philanthropy Capital,1091450,GB-CHC-200051,Esmée Fairbairn Foundation
map,360G-Walcot-0068000000yST7IAAW,Money Mapping Programme,Money Mapping Programme,23315.0,2015-11-17,,Evolve Housing + Support,1099051,GB-CHC-312800,Walcot Foundation
data,360G-EFF-15-0934,Grant to DataKind UK,Towards core costs to support charitable organisations to make the most of data to further their mission.,96484.0,2016-01-27,,DataKind UK,1154213,GB-CHC-200051,Esmée Fairbairn Foundation
measur,360G-EFF-11-0324,Grant to Demos Ltd,Towards a research programme aimed at the development of a new multi-dimensional measure of poverty.,197583.0,2011-06-30,,Demos Ltd,1042046,GB-CHC-200051,Esmée Fairbairn Foundation
measur,360G-EFF-12-2790,Grant to Coalition for Efficiency,Towards further piloting and development of The Practical Approach - a handbook on how skilled volunteers can help charities measure their impact.,7000.0,2013-04-09,,Coalition for Efficiency,1141450,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-indigotrust:IND364,Improving transparency in sub-Saharan Africa's health systems,To enable them to distribute small grants to organisations in Sub-Saharan Africa who are using technology to improve transparency in the pharmaceutical and health sector.,30000.0,2016-11-10,,Transparency International UK,1112842,GB-CHC-1075920,Indigo Trust
analysi,360G-barrowcadbury-006b000000KN7yN,Migration Exchange collaborative supporting work,To fund scoping studies and analysis to support Migration Exchange's work,40000.0,2016-07-09,2016-07-11,Global Dialogue,1122052,GB-CHC-1115476,Barrow Cadbury Trust
databas,360G-CFTyneWearNland-160195,Towards Strengthening WHiST - database work,Towards Strengthening WHiST - database work,2500.0,2015-05-26,,Womens Health in South Tyneside,119901,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland
data,360G-EFF-15-1635,Grant to UK Youth,"Towards core costs to improve support for youth clubs, enhance the impact of data collection and enable youth clubs to become more sustainable and to raise awareness of the need for other types of youth support in addition to social action programmes.",500000.0,2015-12-09,,UK Youth,1110590,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-TwoRidingsCF-A448063,Over 50s computer Club,Funding is required to deliver a weekly computer club to over 50's to support them with computer basics and develop their technological skills.,1000.0,2017-07-07,,Bransholme Community Arts Enterprise Ltd,1127766,GB-CHC-1166471,Two Ridings Community Foundation
technolog,360G-northernrock:44,Grant awarded to The Blind Society for North Tyneside (Tyne & Wear),To fund the employment of a training support assistant to work in the information technology centre.,54700.0,1998-04-14,1998-04-14,The Blind Society for North Tyneside,1010202,GB-COH-03416658,Northern Rock Foundation
technolog,360G-northernrock:219,Grant awarded to Drake Music Project (North West),"Towards the cost of establishing music workshops for disabled people, using adapted music technology, in Manchester.",8000.0,1998-10-08,1998-10-08,Drake Music Project,1034374,GB-COH-03416658,Northern Rock Foundation
data,360G-blf-0031034660,SEL/2/11 - Working Forward. Support for lone parents,"The funding will be used to develop procurement of data capture and management information software to provide expert advice and practical support for single parents. The grant will also be used for legal costs, peer group development, stakeholder meeting and consultation costs, training for partner staff, financial training and focus group costs.",32170.0,2016-04-26,2016-06-06,"Gingerbread, The Charity for Single Parent Families",230750,360G-blf,The Big Lottery Fund
databas,360G-blf-0031043320,Client management database,"This project will provide a new database, that will be supported by newly trained staff and volunteers, which will improve their service provision supporting victims of domestic abuse. This will be achieved through the efficiency savings the new database will generate.",7074.0,2016-12-07,2017-01-16,SOS Domestic Abuse Projects,1062493,360G-blf,The Big Lottery Fund
data,360G-blf-0031038127,Better Outcomes - Involving hyh Stakeholders to Measure Impact,The organisation will use the funding to work with a consultant and their stakeholders in order to gather evidence to better understand the impact of their work. This will enable the group to gather data and evidence in order to improve and strengthen the capability of the organisation.,7140.0,2016-08-10,2016-09-22,Herts Young Homeless Group,1069498,360G-blf,The Big Lottery Fund
data,360G-ocf-a061600000h4N0e,Data for Good,Staff costs to research a data project for the VCSE sector in Oxfordshire,377.23,2015-09-21,,OCVA,1108504,GB-CHC-1151621,Oxfordshire Community Foundation
measur,360G-blf-0031028704,Volunteering for the older old living in residential care settings,"The funding will be used to develop and increase volunteering opportunities over-75s, including those with dementia and other complex conditions. The 30 month funded project will focus on residents within 20 Abbeyfield Houses in England and Wales. It will measure the impact that volunteering has related to wellbeing and quality of life, alongside sharing good practice examples of the types of volunteering roles that the over 75 age range can, and want, to be involved in.",264944.0,2015-11-09,2016-06-01,Abbeyfield Society,200719,360G-blf,The Big Lottery Fund
technolog,360G-CFSurrey-A417701,Implementation of Data recording and reporting system,"To enable Home Start Surrey to make an investment in information technology, which will create a time-saving that can be redirected to support families in need across Surrey",10000.0,2016-11-16,2016-10-01,Home Start Surrey,1154913,GB-CHC-1111600,Community Foundation for Surrey
technolog,360G-blf-0031046175,Assistive Technology Pilot Project,"This project will purchase new assistive medical technology that will support the needs of people with limited movement or communication problems, improving the support available.",10000.0,2017-02-22,2017-03-29,Ezra Umarpeh Limited,1081176,360G-blf,The Big Lottery Fund
databas,360G-CFSurrey-A431272,Database to manage our clients and properties,"Funding is sought to enable a strategic investment in IT – installing a new database, which will enable the charity to more efficiently manage rental properties and client information.",9306.0,2017-01-26,2017-03-01,Elmbridge Rentstart,1156746,GB-CHC-1111600,Community Foundation for Surrey
databas,360G-blf-0031042911,St Barnabas Hospices Library Upgrade,"This is a project to upgrade their library and library system, to include new books, DVDs and database. This will enable hospice residents to gain a greater understanding of their illnesses with ease and allow access to advice and information, with the aim of reducing stress, anxiety and depression.",9731.0,2016-11-30,2017-01-06,St Barnabas Hospices (Sussex) Ltd,256789,360G-blf,The Big Lottery Fund
app,360G-blf-0031027141,Autism into Employment - Integrated Communication Facilities,"The organisation will use the funding to improve the communications technology of their new charity superstore, including redesigning their website and designing a Daisy Chain App. This will enable them to deliver a support programme to help young adults with autism to develop their own micro enterprise lifestyle businesses via an online trading portal, and improve their employment skills.",9500.0,2015-09-23,2015-12-18,Daisy Chain Project,1109792,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031027141,Autism into Employment - Integrated Communication Facilities,"The organisation will use the funding to improve the communications technology of their new charity superstore, including redesigning their website and designing a Daisy Chain App. This will enable them to deliver a support programme to help young adults with autism to develop their own micro enterprise lifestyle businesses via an online trading portal, and improve their employment skills.",9500.0,2015-09-23,2015-12-18,Daisy Chain Project,1109792,360G-blf,The Big Lottery Fund
digit literaci,360G-blf-0031034536,Greenwich Nepalese/Gurkha Intergration Project,Older Nepalese people who are isolated will be supported through community champions who will be trained to help them integrate into the wider community. It will also expand its service to cover Bexley and Blackheath. They will mobilise young members of the community into becoming Digital Literacy workers and sharing their knowledge and skills.,250681.0,2016-05-04,2016-06-01,Community Empowerment and Support Initiatives - UK,1123534,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031040485,"Community Action, Leadership and Mentoring Scheme (CALMS)","Project Summary :  This project will use the funding to deliver a programme of employment skills training in business information technology, peer support, personal development training and creative workshops to adults who have been unemployed for more than 12 months and are excluded from the job market. This will improve their skills and confidence to re-engage with employment and contribute to the local community through take up of volunteering and mentoring opportunities.",10000.0,2016-10-05,2016-11-03,Grace Incorporation Faith Trust (GIFT),1121461,360G-blf,The Big Lottery Fund
analysi,360G-blf-0031029274,Big Manchester,"The funding will be used to develop a social impact bond (SIB) to reduce the impact of parental mental health issues, domestic abuse, and substance misuse on children aged five to eleven. The intervention will be delivered across Manchester. The four month grant will fund identification of cashable savings, analysis of the existing model, co-commissioner engagement, identification of costs, and other technical support. The SIB will be commissioned by Manchester City Council.",38050.0,2015-11-27,2016-01-04,Barnardo's,216250,360G-blf,The Big Lottery Fund
measur,360G-blf-0031026119,Inspiring Impact: Year 4-6,"This is the continuation and development of the project to be delivered over three years. The project aims to help charities, funders and social enterprises across the UK better understand, measure and communicate their impact. This will ultimately help them deliver better outcomes for the people they aim to serve, and society as a whole. The project also complements the Big Lottery Fundâ€™s work around creating a stronger civil society sector.",600000.0,2015-08-20,2015-08-11,New Philanthropy Capital,1091450,360G-blf,The Big Lottery Fund
app,360G-EFF-17-1464,Grant to Prison Radio Association,"Towards the development of Straightline, an app and website supporting ex-offenders after release using the National Prison Radio model.",145000.0,2018-02-28,,Prison Radio Association,1114760,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-blf-0031037336,abcfund increasing volunteer capacity though computing resources,This charity will use the funding to purchase IT equipment to provide volunteering opportunities as well as training in IT skills. This will enable volunteers to increase their technology skills and increase volunteer capacity for the group so they can sustain their support service in the community.,6839.0,2016-07-20,2016-08-22,ABC Fund,1107960,360G-blf,The Big Lottery Fund
map,360G-blf-0031040401,CtoC/3/9 - WAVES (Work And Voluntary Experience to Succeed),"This grant will be used to develop plans for a project that aims to help unemployed people in Croydon find work. Participants will include people over 50, those with disabilities and ethnic minorities. The development funding will pay for detailed mapping across participant profiles, referral partners, volunteering opportunities and legal support.",28610.0,2016-09-22,2016-10-13,Groundwork London,1121105,360G-blf,The Big Lottery Fund
map,360G-blf-0031028653,"Lon/1/5 ACE (Able, Capable, Employed)","This grant will be used to develop plans for a project in South and Central London to support people aged 24+ with long term health problems or disabilities into sustained and meaningful employment in the open labour market. The development funding will be used to map participant needs and borough services, consult with participants, develop partnerships and a monitoring toolkit.",43440.0,2015-11-06,2015-11-25,Groundwork London,1121105,360G-blf,The Big Lottery Fund
